id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
182,2021-01-07 00:00:00,1,Москва,1,Иван,Иванов,1,"Молоко 3,2%",1,50.00
2,2021-01-01 00:00:00,1,Москва,1,Иван,Иванов,2,Молоко 1%,2,50.00
66,2021-01-03 00:00:00,1,Москва,1,Иван,Иванов,2,Молоко 1%,2,50.00
410,2021-01-13 00:00:00,1,Москва,1,Иван,Иванов,2,Молоко 1%,4,100.00
464,2021-01-14 00:00:00,1,Москва,1,Иван,Иванов,2,Молоко 1%,3,75.00
511,2021-01-15 00:00:00,1,Москва,1,Иван,Иванов,2,Молоко 1%,3,75.00
523,2021-01-16 00:00:00,1,Москва,1,Иван,Иванов,2,Молоко 1%,3,75.00
607,2021-01-18 00:00:00,1,Москва,1,Иван,Иванов,2,Молоко 1%,5,125.00
794,2021-01-23 00:00:00,1,Москва,1,Иван,Иванов,37,Устройство для нагревания табака Трубка Мира,8,448.00
907,2021-01-26 00:00:00,1,Москва,1,Иван,Иванов,37,Устройство для нагревания табака Трубка Мира,8,448.00
1211,2021-01-31 00:00:00,1,Москва,1,Иван,Иванов,37,Устройство для нагревания табака Трубка Мира,4,224.00
761,2021-01-22 00:00:00,1,Москва,1,Иван,Иванов,39,Батон нарезной пшеничный,8,360.00
824,2021-01-24 00:00:00,1,Москва,1,Иван,Иванов,39,Батон нарезной пшеничный,8,360.00
412,2021-01-13 00:00:00,1,Москва,2,Иван,Петров,11,Вода питьевая Слеза Ярославны,3,228.00
659,2021-01-20 00:00:00,1,Москва,2,Иван,Петров,25,Шампунь Сила Сибири,10,400.00
186,2021-01-07 00:00:00,1,Москва,3,Мария,Петров,1,"Молоко 3,2%",5,250.00
312,2021-01-10 00:00:00,1,Москва,3,Мария,Петров,1,"Молоко 3,2%",5,250.00
6,2021-01-01 00:00:00,1,Москва,3,Мария,Петров,2,Молоко 1%,4,100.00
70,2021-01-03 00:00:00,1,Москва,3,Мария,Петров,2,Молоко 1%,4,100.00
1130,2021-01-30 00:00:00,1,Москва,1,Иван,Иванов,37,Устройство для нагревания табака Трубка Мира,2,112.00
349,2021-01-11 00:00:00,1,Москва,3,Мария,Петров,2,Молоко 1%,3,75.00
408,2021-01-13 00:00:00,1,Москва,3,Мария,Петров,2,Молоко 1%,4,100.00
414,2021-01-13 00:00:00,1,Москва,3,Мария,Петров,2,Молоко 1%,4,100.00
348,2021-01-11 00:00:00,1,Москва,3,Мария,Петров,34,Лампочка LED 5 w,3,75.00
98,2021-01-04 00:00:00,1,Москва,4,Мария,Иванова,7,Яблоко молодильное,2,50.00
633,2021-01-19 00:00:00,1,Москва,4,Мария,Иванова,39,Батон нарезной пшеничный,3,135.00
388,2021-01-12 00:00:00,1,Москва,5,Женя,Иванова,22,Сахар песок,4,400.00
100,2021-01-04 00:00:00,1,Москва,5,Женя,Иванова,29,Батончик шоколадный Мечта,4,360.00
99,2021-01-04 00:00:00,1,Москва,5,Женя,Иванова,32,Средство для мытья посуды,3,75.00
189,2021-01-07 00:00:00,1,Москва,5,Женя,Иванова,33,Лампочка LED 10 w,2,50.00
314,2021-01-11 00:00:00,1,Москва,1,Иван,Иванов,1,"Молоко 3,2%",3,150.00
318,2021-01-11 00:00:00,1,Москва,3,Мария,Петров,1,"Молоко 3,2%",3,150.00
188,2021-01-07 00:00:00,1,Москва,4,Мария,Иванова,19,Свекла Красная Зоря,3,72.00
609,2021-01-18 00:00:00,1,Москва,5,Женя,Иванова,9,Груша,6,150.00
321,2021-01-11 00:00:00,1,Москва,5,Женя,Иванова,33,Лампочка LED 10 w,5,125.00
9,2021-01-01 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,5,125.00
73,2021-01-03 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,5,125.00
190,2021-01-07 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,5,125.00
322,2021-01-11 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,5,125.00
417,2021-01-13 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,6,150.00
467,2021-01-14 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,10,250.00
514,2021-01-15 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,10,280.00
526,2021-01-16 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,10,250.00
552,2021-01-17 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,10,250.00
635,2021-01-19 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,10,280.00
663,2021-01-20 00:00:00,1,Москва,5,Женя,Иванова,34,Лампочка LED 5 w,4,112.00
738,2021-01-22 00:00:00,1,Москва,5,Женя,Иванова,39,Батон нарезной пшеничный,8,360.00
